Sentence_1,Sentence_2
ಭಯೋತ್ಪಾದನೆ ಆರೋಪಗಳಿಗಾಗಿ ಚಿಕಾಗೋ ವ್ಯಕ್ತಿಗೆ ಶಿಕ್ಷೆ,ಕಾಬೂಲ್ ಬ್ಯಾಂಕ್ ಮುಖ್ಯಸ್ಥರಿಗೆ ಭ್ರಷ್ಟಾಚಾರದ ಶಿಕ್ಷೆ
ದೀರ್ಘಕಾಲ ವಿಳಂಬಗೊಂಡ ಶಾಸಕಾಂಗ ಮತದಾನದಲ್ಲಿ ಗಿನಿಯಾ ಮತಗಳು,ಗಿನಿಯಾದ ಜನರು ಶಾಸಕಾಂಗ ಚುನಾವಣೆಯಲ್ಲಿ ಮತ ಚಲಾಯಿಸುತ್ತಾರೆ
"ಟ್ರ್ಯಾಕ್ ದೋಷವು ರಾಫೆಲ್ಸ್ ಪ್ಲೇಸ್, ಮರೀನಾ ಬೇ ನಡುವಿನ ರೈಲು ಸೇವೆಯನ್ನು ಅಡ್ಡಿಪಡಿಸುತ್ತದೆ",ರಾಫೆಲ್ಸ್ ಪ್ಲೇಸ್ ಮತ್ತು ಮರೀನಾ ಬೇ ನಡುವೆ ರೈಲು ಸೇವೆ ಸ್ಥಗಿತಗೊಂಡಿದೆ
ಹೆಬ್ರಾನ್‌ನಲ್ಲಿ ಇಸ್ರೇಲಿ ಸೈನಿಕ ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ ಮಗುವಿಗೆ ಹೊಡೆದನು,ಇಸ್ರೇಲಿ ಸೈನಿಕರು ಪಶ್ಚಿಮ ದಂಡೆಯಲ್ಲಿ ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ ಮಹಿಳೆಯನ್ನು ಕೊಂದರು
ಸರ್ಕಾರಿ ರಹಸ್ಯಗಳನ್ನು ಸೋರಿಕೆ ಮಾಡಿದ್ದಕ್ಕಾಗಿ ಮ್ಯಾನಿಂಗ್‌ಗೆ 35 ವರ್ಷಗಳ ಶಿಕ್ಷೆ,ನಕಲಿ ಬಾಂಬ್ ಡಿಟೆಕ್ಟರ್‌ಗಳನ್ನು ಮಾರಾಟ ಮಾಡಿದ್ದಕ್ಕಾಗಿ ಬ್ರಿಟನ್‌ಗೆ 10 ವರ್ಷಗಳ ಜೈಲು ಶಿಕ್ಷೆ
ಈಜಿಪ್ಟ್ ಸೇನೆಯು ಸಿನಾಯ್ ಉಗ್ರಗಾಮಿಗಳ ಮೇಲೆ ಹೊಸ ವೈಮಾನಿಕ ದಾಳಿಯನ್ನು ಪ್ರಾರಂಭಿಸಿದೆ,ಸಿನಾಯ್ ಉಗ್ರಗಾಮಿಗಳ ವಿರುದ್ಧ ಈಜಿಪ್ಟ್ ಹೊಸ ದಾಳಿಯನ್ನು ಪ್ರಾರಂಭಿಸಿದೆ
ರಷ್ಯಾದ ದಕ್ಷಿಣದಲ್ಲಿ ಆತ್ಮಾಹುತಿ ಬಾಂಬರ್ 13 ಸಾವು,ರಷ್ಯಾದ ವೋಲ್ಗೊಗ್ರಾಡ್‌ನಲ್ಲಿ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬರ್‌ನಲ್ಲಿ 16 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಅಫ್ಘಾನ್ ಶಾಸಕರು ಹೊಸ ಚುನಾವಣಾ ಕಾನೂನನ್ನು ಅನುಮೋದಿಸಿದ್ದಾರೆ,ಅಫ್ಘಾನ್ ಅಧ್ಯಕ್ಷರು ಹೊಸ ಚುನಾವಣಾ ಕಾನೂನನ್ನು ಅನುಮೋದಿಸಿದ್ದಾರೆ
ಯೂರೋಜೋನ್ ನಿರುದ್ಯೋಗವು ಹೊಸ ದಾಖಲೆಯ ಎತ್ತರವನ್ನು ತಲುಪಿದೆ,ಯುರೋಪ್ ನಿರುದ್ಯೋಗ ಹೊಸ ದಾಖಲೆಯನ್ನು ಮುಟ್ಟಿದೆ
ಸ್ಯಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೋ ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ಬೋಯಿಂಗ್ 777 ಜೆಟ್ ಕ್ರ್ಯಾಶ್ ಆಗಿ ಹತ್ತಾರು ಜನರು ಗಾಯಗೊಂಡಿದ್ದಾರೆ,ಏಷಿಯಾನಾ ಏರ್ ಬೋಯಿಂಗ್ 777 ಸ್ಯಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೋ ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ಕ್ರ್ಯಾಶ್ ಲ್ಯಾಂಡ್ ಆಗಿದೆ
"ನೆಲ್ಸನ್ ಮಂಡೇಲಾ ಅವರ ನಿಜವಾದ ಹೀರೋ ಗಾಂಧಿ ಅಲ್ಲ, ನೆಹರೂ",ನೆಲ್ಸನ್ ಮಂಡೇಲಾ ಅವರ ಆರೋಗ್ಯ 'ಅಸ್ಥಿರ'
ಗಡುವು ಸಮೀಪಿಸುತ್ತಿದ್ದಂತೆ ವಜ್ರದ ಒಪ್ಪಂದದ ಮೇಲೆ ಮತ ಚಲಾಯಿಸಲು US ಸೆನೆಟ್,ವಜ್ರ ಒಪ್ಪಂದದ ಮೇಲಿನ ಮತದಾನವನ್ನು ಯುಎಸ್ ವಿಳಂಬಗೊಳಿಸುತ್ತದೆ
ಒಬಾಮಾ ಒಬಾಮಾಕೇರ್‌ಗೆ ಸಹಿ ಹಾಕಿದರು,ಅಮೆರಿಕನ್ನರು ಗಡುವಿನೊಳಗೆ ಒಬಾಮಾಕೇರ್‌ಗೆ ಸೈನ್ ಅಪ್ ಮಾಡಲು ಹರಸಾಹಸ ಪಡುತ್ತಾರೆ
ಕೊಲೊರಾಡೋ ಹಿಮಕುಸಿತದಲ್ಲಿ 5 ಜನರನ್ನು ಸಮಾಧಿ ಮಾಡಲಾಗಿದೆ,ಕೊಲೊರಾಡೋ ಹಿಮಕುಸಿತದಲ್ಲಿ 5 ಸ್ನೋಬೋರ್ಡರ್‌ಗಳು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
"ಆಂಡಿ ಮುರ್ರೆ ನೈಟ್‌ಹುಡ್‌ಗೆ ಅರ್ಹರು, ಡೇವಿಡ್ ಕ್ಯಾಮರೂನ್ ಹೇಳುತ್ತಾರೆ",ಡೇವಿಡ್ ಕ್ಯಾಮರೂನ್: ಆಂಡಿ ಮುರ್ರೆ ನೈಟ್‌ಹುಡ್‌ಗೆ ಅರ್ಹರಾಗಿದ್ದಾರೆ
ಆರೋಗ್ಯ ಸಮಸ್ಯೆಯಿಂದ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಇರಾಕ್ ಅಧ್ಯಕ್ಷ,ಪಾರ್ಶ್ವವಾಯುವಿಗೆ ಒಳಗಾದ ಇರಾಕ್ ಅಧ್ಯಕ್ಷ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ
ಬೆಂಗಾಜಿಯ ಮೇಲೆ US ಸ್ಟೇಟ್ ಡಿಪಾರ್ಟ್ಮೆಂಟ್ ತಪ್ಪಾಗಿದೆ,ಬೆಂಗಾಜಿ ನಂತರ ರಾಜ್ಯ ಇಲಾಖೆಯ ಭದ್ರತಾ ಮುಖ್ಯಸ್ಥರು ರಾಜೀನಾಮೆ ನೀಡಿದರು
ನ್ಯೂ ಓರ್ಲಿಯನ್ಸ್ ಶೂಟಿಂಗ್‌ನಲ್ಲಿ 19 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ,ಮದರ್ಸ್ ಡೇ ಶೂಟಿಂಗ್ ನಲ್ಲಿ 19 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ
ಮಧ್ಯ ಮೆಡಿಟರೇನಿಯನ್ ಸಮುದ್ರದಲ್ಲಿ ಮಧ್ಯಮ ನಡುಕ,ಇರಾನ್: ಮಧ್ಯಮ ಅಭ್ಯರ್ಥಿ ಅಧ್ಯಕ್ಷೀಯ ಮತವನ್ನು ಗೆದ್ದಿದ್ದಾರೆ
"ರಷ್ಯಾಕ್ಕೆ ವಿಮಾನಗಳಲ್ಲಿ ಕ್ಯಾರಿ-ಆನ್ ದ್ರವಗಳು, ಜೆಲ್‌ಗಳನ್ನು ಯುಎಸ್ ನಿಷೇಧಿಸಿದೆ",ರಷ್ಯಾಕ್ಕೆ ನೇರ ವಿಮಾನಗಳಲ್ಲಿ ಕ್ಯಾರಿ-ಆನ್ ದ್ರವಗಳನ್ನು US ನಿಷೇಧಿಸಿದೆ
"ಸಿನಾಯ್‌ನಲ್ಲಿ ಈಜಿಪ್ಟ್ ಮಿಲಿಟರಿಗೆ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬ್‌ಗಳು ಹೊಡೆದವು, 6 ಕೊಲ್ಲಲ್ಪಟ್ಟರು","ಸಿನೈನಲ್ಲಿ ಈಜಿಪ್ಟ್ ಮಿಲಿಟರಿಗೆ ಆತ್ಮಾಹುತಿ ಬಾಂಬ್ ದಾಳಿ, 4 ಸಾವು"
ಮಲೇಷ್ಯಾವು ನಿಕಟವಾಗಿ ಸ್ಪರ್ಧಿಸುವ ಚುನಾವಣೆಗೆ ಮೇ 5 ರಂದು ದಿನಾಂಕವನ್ನು ನಿಗದಿಪಡಿಸುತ್ತದೆ,ಮಲೇಷ್ಯಾ ಹೆಗ್ಗುರುತು ಚುನಾವಣೆಗೆ ದಿನಾಂಕವನ್ನು ನಿಗದಿಪಡಿಸುತ್ತದೆ
ಪರೀಕ್ಷೆಗಾಗಿ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ನೆಲ್ಸನ್ ಮಂಡೇಲಾ,ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ: ಪರೀಕ್ಷೆಗಾಗಿ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಮಂಡೇಲಾ
ಇರಾನ್ ಅಧ್ಯಕ್ಷರು ಹೊಸ ಪರಮಾಣು ಮಾತುಕತೆಗೆ ಕರೆ ನೀಡಿದ್ದಾರೆ,ಅಣ್ವಸ್ತ್ರ ಮಾತುಕತೆ ವಿಫಲವಾಗಿರುವುದಕ್ಕೆ ಇರಾನ್ ಸಚಿವರು ಪಶ್ಚಿಮವನ್ನು ದೂಷಿಸಿದ್ದಾರೆ
ವಿದ್ಯಾರ್ಥಿಗಳು ಆಕಾಶವಾಣಿಯಲ್ಲಿ ಸವಾರಿ ಮಾಡುತ್ತಾರೆ,ತೈವಾನ್‌ನಲ್ಲಿ 5.5 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ
ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ 4 ಇರಾನ್ ಸೈನಿಕರು ಕೊಲ್ಲಲ್ಪಟ್ಟರು,ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ಎಂಟು ಇರಾನ್ ಸೈನಿಕರು ಕೊಲ್ಲಲ್ಪಟ್ಟರು
ವಿನ್ನಿ ಜೋನ್ಸ್ ಕ್ಯಾನ್ಸರ್ ಯುದ್ಧವನ್ನು ಹೊಸದನ್ನು ಬಹಿರಂಗಪಡಿಸಿದ್ದಾರೆ,ವಿನ್ನಿ ಜೋನ್ಸ್ ಅವರಿಗೆ ಚರ್ಮದ ಕ್ಯಾನ್ಸರ್ ಇದೆ ಎಂದು ಬಹಿರಂಗಪಡಿಸಿದರು
ಮಂಡೇಲಾ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಕ್ರಿಸ್ಮಸ್ ಕಳೆಯಲು,ಮಂಡೇಲಾ ಚಿತ್ರ ಇದೇ ತಿಂಗಳು ದಕ್ಷಿಣ ಆಫ್ರಿಕಾದಲ್ಲಿ ತೆರೆಕಾಣಲಿದೆ
ಪಾಕಿಸ್ತಾನದ ತಾಲಿಬಾನ್ ಮುಖ್ಯಸ್ಥ ಹಕೀಮುಲ್ಲಾ ಮೆಹ್ಸೂದ್ ಡ್ರೋನ್ ದಾಳಿಯಲ್ಲಿ ಕೊಲ್ಲಲ್ಪಟ್ಟರು,ಹಕೀಮುಲ್ಲಾನನ್ನು ರಕ್ತಪಾತದಲ್ಲಿ ಕೊಂದಿದ್ದಕ್ಕೆ ಪ್ರತೀಕಾರ ತೀರಿಸುವುದಾಗಿ ಪಾಕಿಸ್ತಾನದ ತಾಲಿಬಾನ್ ಪ್ರತಿಜ್ಞೆ ಮಾಡಿದೆ
ನ್ಯಾಯಾಧೀಶರು ಜೇಮ್ಸ್ ಹೋಮ್ಸ್‌ಗೆ ತಪ್ಪಿತಸ್ಥರಲ್ಲ ಎಂದು ಮನವಿ ಮಾಡಿದರು,ಜೇಮ್ಸ್ ಹೋಮ್ಸ್‌ಗೆ ಅಪರಾಧಿ ಅಲ್ಲ
ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು ಒಬ್ಬ ಸೈನಿಕನನ್ನು ಕೊಂದು ಇಬ್ಬರನ್ನು ಗಾಯಗೊಳಿಸಿದ್ದಾರೆ,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 6 ಪೋಲಿಯೋ ಕಾರ್ಮಿಕರನ್ನು ಕೊಂದಿದ್ದಾರೆ
ಧವನ್ ಭಾರತವನ್ನು ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ವಿರುದ್ಧ ಭರ್ಜರಿ ಜಯ ಸಾಧಿಸಿದರು,ಧವನ್ ಶತಕದ ನೆರವಿನಿಂದ ಭಾರತ ಟ್ರೋಫಿಯಲ್ಲಿ ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ವಿರುದ್ಧ ಗೆಲುವು ಸಾಧಿಸಿದೆ
ಸಿರಿಯಾದ ರಾಸಾಯನಿಕ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳ ನಾಶ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ,ಸಿರಿಯಾದ ರಾಸಾಯನಿಕ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳ ನಾಶವು ಕಷ್ಟಕರವೆಂದು ಸಾಬೀತುಪಡಿಸಬಹುದು
ಅಪ್ಲಿಕೇಶನ್ ಚಾಲಕರನ್ನು ಅಲಾಸ್ಕಾ ವಿಮಾನ ನಿಲ್ದಾಣದ ರನ್ವೇಗೆ ನಿರ್ದೇಶಿಸುತ್ತದೆ,ಅಪ್ಲಿಕೇಶನ್ ಚಾಲಕರನ್ನು ವಿಮಾನ ನಿಲ್ದಾಣಕ್ಕೆ ಕಳುಹಿಸುತ್ತದೆ
ಅಮೆರಿಕದ ಡ್ರೋನ್‌ಗಳು ಪಾಕಿಸ್ತಾನದ ಸಾರ್ವಭೌಮತ್ವವನ್ನು ಉಲ್ಲಂಘಿಸುತ್ತದೆ ಎಂದು ವಿಶ್ವಸಂಸ್ಥೆ ಹೇಳಿದೆ,ವಿಶ್ವಸಂಸ್ಥೆ: ಅಮೆರಿಕದ ಡ್ರೋನ್ ದಾಳಿಗಳು ಪಾಕಿಸ್ತಾನದ ಸಾರ್ವಭೌಮತ್ವವನ್ನು ಉಲ್ಲಂಘಿಸುತ್ತವೆ
ವೆನೆಜುವೆಲಾ ಜೈಲು ಗಲಭೆಯಲ್ಲಿ 61 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ವೆನೆಜುವೆಲಾ ಜೈಲು ಗಲಭೆಯಲ್ಲಿ ಹತ್ತಾರು ಜನರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ ಎಂದು ವರದಿಯಾಗಿದೆ
"ಒಬಾಮಾ ಇಸ್ರೇಲ್, ಪ್ಯಾಲೆಸ್ತೀನಿಯರು 'ಕೇಳಲು' ಬರುತ್ತಿದ್ದಾರೆ",ಇಸ್ರೇಲಿ-ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ ಮಾತುಕತೆಗಾಗಿ ಅರಬ್ ಯೋಜನೆಯನ್ನು ಕೆರ್ರಿ ಸ್ವಾಗತಿಸಿದ್ದಾರೆ
ಉತ್ತರ ಕೊರಿಯಾ ಕುಟುಂಬ ಪುನರ್ಮಿಲನವನ್ನು ಮುಂದೂಡಿದೆ,ಉತ್ತರ ಕೊರಿಯಾ ಯುದ್ಧ-ಹಾನಿಗೊಳಗಾದ ಕುಟುಂಬ ಒಕ್ಕೂಟಗಳನ್ನು ಮುಂದೂಡಿದೆ
ನೈಜೀರಿಯಾ ಪೊಲೀಸ್ ದಾಳಿಯಲ್ಲಿ ಸಾವಿನ ಸಂಖ್ಯೆ 30 ಕ್ಕೆ ಏರಿಕೆಯಾಗಿದೆ,ಕೀನ್ಯಾ ಬಸ್ ದಾಳಿಯಲ್ಲಿ ಸಾವಿನ ಸಂಖ್ಯೆ ಆರಕ್ಕೆ ಏರಿದೆ
ರಾಣಿ ನೆಲ್ಸನ್ ಮಂಡೇಲಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು,ಯುಎಸ್ ಅಧ್ಯಕ್ಷರು ಮಂಡೇಲಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು
ಹೆಚ್ಚುತ್ತಿರುವ ರಾಷ್ಟ್ರೀಯ ಸಾಲದ ಸೀಲಿಂಗ್ ಅನ್ನು ರದ್ದುಗೊಳಿಸಲು ಆಸ್ಟ್ರೇಲಿಯಾ,ಆಸ್ಟ್ರೇಲಿಯಾದ ಪ್ರಧಾನಿ ಇಂಡೋನೇಷ್ಯಾದೊಂದಿಗೆ ಯಾವುದೇ ವಾದವನ್ನು ಒತ್ತಾಯಿಸುವುದಿಲ್ಲ
ಇರಾಕ್ ಹಿಂಸಾಚಾರದಲ್ಲಿ 11 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಇರಾಕ್ ಹಿಂಸಾಚಾರದಲ್ಲಿ ಏಳು ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಇಟಲಿಯ ಪ್ರಧಾನಿ ಮಾರಿಯೋ ಮೊಂಟಿ ರಾಜೀನಾಮೆ,ಪ್ಯಾಲೆಸ್ತೀನ್ ಪ್ರಧಾನಿ ಫಯ್ಯದ್ ರಾಜೀನಾಮೆ
ಸಿರಿಯಾ ಯುಎಸ್ ಅನ್ನು ತಿರಸ್ಕರಿಸಿದೆ ಎಂದು ಯುಕೆ ರಾಸಾಯನಿಕ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳು ಹೇಳಿಕೊಂಡಿವೆ,ಸಿರಿಯಾ ರಾಸಾಯನಿಕ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳನ್ನು ಬಳಸಿದೆ ಎಂದು ಯುಎಸ್ ಶಂಕಿಸಿದೆ
ಪರಮಾಣು ಮಾತುಕತೆಯಲ್ಲಿ ಗಂಭೀರ ಸಮಸ್ಯೆಗಳು ಉಳಿದಿವೆ ಎಂದು ಇರಾನ್ ಹೇಳಿದೆ,"""ಶಾಂತಿಯುತ"" ಪರಮಾಣು ಕಾರ್ಯಕ್ರಮವನ್ನು ಸಂರಕ್ಷಿಸಲು ಇರಾನ್ ಪ್ರತಿಜ್ಞೆ ಮಾಡಿದೆ"
ಇರಾನ್ ಪರಮಾಣು ಒಪ್ಪಂದವನ್ನು ಸಿರಿಯಾ ಸ್ವಾಗತಿಸುತ್ತದೆ,ಆರು ವಿಶ್ವ ಶಕ್ತಿಗಳು ಪರಮಾಣು ಒಪ್ಪಂದವನ್ನು ಸಾಧಿಸುತ್ತವೆ
ಸುಡಾನ್‌ನ ಡಾರ್ಫುರ್‌ನಲ್ಲಿ ಏಳು ಶಾಂತಿಪಾಲಕರು ಕೊಲ್ಲಲ್ಪಟ್ಟರು,ಅಬೈ ಘರ್ಷಣೆಯಲ್ಲಿ ಶಾಂತಿಪಾಲಕ ಕೊಲ್ಲಲ್ಪಟ್ಟರು
ತಾನು ಡ್ರೋನ್ ವಶಪಡಿಸಿಕೊಂಡಿರುವುದಾಗಿ ಇರಾನ್ ಹೇಳುತ್ತದೆ ಆದರೆ ಯುಎಸ್ ಒಂದನ್ನು ಕಳೆದುಕೊಳ್ಳುವುದನ್ನು ನಿರಾಕರಿಸಿದೆ,ಯುಎಸ್ ಡ್ರೋನ್ ಅನ್ನು ವಶಪಡಿಸಿಕೊಂಡಿದೆ ಎಂದು ಇರಾನ್ ಹೇಳುತ್ತದೆ ಆದರೆ ಅದು ನಿಜವಲ್ಲ ಎಂದು ಯುಎಸ್ ಹೇಳಿದೆ
ಸ್ಥಗಿತಗೊಂಡ ಮೂರನೇ ದಿನದಂದು ಯುಎಸ್ ಷೇರುಗಳು ಕುಸಿಯುತ್ತವೆ,ಸರ್ಕಾರ ಸ್ಥಗಿತಗೊಂಡ ಮೂರನೇ ದಿನದಂದು ಷೇರುಗಳು ಕುಸಿಯುತ್ತವೆ
ವರದಿಗಾರರ ಔತಣಕೂಟದಲ್ಲಿ ಒಬಾಮಾ ತಮ್ಮ ಬಗ್ಗೆ ತಮಾಷೆ ಮಾಡಿಕೊಂಡಿದ್ದಾರೆ,ಪತ್ರಿಕಾ ಭೋಜನದ ಸಮಯದಲ್ಲಿ ಒಬಾಮಾ ವಿಮರ್ಶಕರನ್ನು ತಮಾಷೆ ಮಾಡುತ್ತಾರೆ
ಸಿರಿಯಾದ ಮೇಲೆ ಇಸ್ರೇಲಿ ದಾಳಿಗಳ ಬಗ್ಗೆ ಯುಎನ್ ಎಚ್ಚರಿಕೆಯನ್ನು ಧ್ವನಿಸುತ್ತದೆ,ಇಸ್ರೇಲಿ ಅಧಿಕಾರಿ ಸಿರಿಯಾದಲ್ಲಿ ಎರಡನೇ ವೈಮಾನಿಕ ದಾಳಿಯನ್ನು ಖಚಿತಪಡಿಸಿದ್ದಾರೆ
ವಾಯುವ್ಯ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು ಒಂಬತ್ತು ಜನರನ್ನು ಕೊಂದಿದ್ದಾರೆ,ಇರಾಕ್‌ನಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 3 ಪೊಲೀಸರನ್ನು ಕೊಂದಿದ್ದಾರೆ
ಫ್ರೆಂಚ್ ಪಡೆಗಳು ಅಲ್-ಖೈದಾದ ಮಾಲಿ ಮಿತ್ರರಾಷ್ಟ್ರಗಳ ಮೇಲೆ ದಾಳಿ ಮಾಡುತ್ತವೆ,ಉತ್ತರ ಮಾಲಿಯನ್ನು ಹಿಂಪಡೆಯಲು ಯುದ್ಧ: ನೂರಾರು ಫ್ರೆಂಚ್ ಪಡೆಗಳು ಅಲ್-ಖೈದಾ-ಸಂಬಂಧಿತ ಬಂಡುಕೋರರನ್ನು ಹಿಂದಕ್ಕೆ ಓಡಿಸುತ್ತವೆ
ನೈಜರ್‌ನಲ್ಲಿ ಆತ್ಮಾಹುತಿ ದಾಳಿಯಲ್ಲಿ ಇಸ್ಲಾಮಿಸ್ಟ್‌ಗಳು 21 ಮಂದಿಯನ್ನು ಕೊಂದಿದ್ದಾರೆ,ಸಿರಿಯಾದ ಗಡಿಗೆ ಸಮೀಪವಿರುವ ಟರ್ಕಿಶ್ ಪಟ್ಟಣದಲ್ಲಿ ಕಾರ್ ಬಾಂಬ್‌ಗಳು 20 ಜನರನ್ನು ಕೊಂದವು
ಸಿರಿಯಾ ಆಡಳಿತವು ಶಾಂತಿ ಸಮ್ಮೇಳನದಲ್ಲಿ ಭಾಗವಹಿಸಲು ಒಪ್ಪಿದೆ,"ಸಿರಿಯಾ, ಪ್ರತಿಪಕ್ಷಗಳು ಶಾಂತಿ ಸಮ್ಮೇಳನದಲ್ಲಿ ಪಾಲ್ಗೊಳ್ಳಲು 'ತಾತ್ವಿಕವಾಗಿ' ಒಪ್ಪಿಕೊಳ್ಳುತ್ತವೆ"
ಸ್ನೋಡೆನ್ ತಂದೆ ಮಾಸ್ಕೋಗೆ ಆಗಮಿಸುತ್ತಾನೆ,ಮಾಸ್ಕೋದಲ್ಲಿ ಎಡ್ವರ್ಡ್ ಸ್ನೋಡೆನ್ ಅವರ ತಂದೆ
ಅಲ್ಜೀರಿಯಾ ಅಲ್ ಖೈದಾ ಒತ್ತೆಯಾಳುಗಳನ್ನು ರಕ್ಷಿಸಲು ಮಿಲಿಟರಿ ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಪ್ರಾರಂಭಿಸುತ್ತದೆ,ಅಲ್ಜೀರಿಯಾ ಒತ್ತೆಯಾಳುಗಳಿಗಾಗಿ ಅಂತರರಾಷ್ಟ್ರೀಯ ಬಲವನ್ನು ಹೊಂದಿದೆ
ಡ್ರೋನ್ ದಾಳಿಯ ನಂತರ ಪಾಕಿಸ್ತಾನಿ ತಾಲಿಬಾನ್ ಹೊಸ ನಾಯಕನನ್ನು ಹೆಸರಿಸಿದೆ,ಯುಎಸ್ ಡ್ರೋನ್ ದಾಳಿಯಲ್ಲಿ ಪಾಕಿಸ್ತಾನಿ ತಾಲಿಬಾನ್ ಮುಖ್ಯಸ್ಥ ಕೊಲ್ಲಲ್ಪಟ್ಟರು
ಮ್ಯಾನ್ಮಾರ್ ಮಸೀದಿಯಲ್ಲಿ ಬೆಂಕಿ ಕಾಣಿಸಿಕೊಂಡು 13 ಮಕ್ಕಳು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಮಸೀದಿಯಲ್ಲಿ ವಿದ್ಯುತ್ ಅವಘಡದಲ್ಲಿ 13 ಮಕ್ಕಳು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ ಎಂದು ಮ್ಯಾನ್ಮಾರ್ ಪೊಲೀಸರು ತಿಳಿಸಿದ್ದಾರೆ
ಕೈರೋ ಘರ್ಷಣೆಯಲ್ಲಿ ಮುಸ್ಲಿಂ ಬ್ರದರ್‌ಹುಡ್ ಬೆಂಬಲಿಗ ಸಾವು,ಈಜಿಪ್ಟ್ ಘರ್ಷಣೆಯಲ್ಲಿ ಮುಸ್ಲಿಂ ಬ್ರದರ್‌ಹುಡ್ ಬೆಂಬಲಿಗರು ಸಾಯುತ್ತಾರೆ
ದೆಹಲಿಯ ಸಾಮೂಹಿಕ ಅತ್ಯಾಚಾರ ಸಂತ್ರಸ್ತೆ ಸಿಂಗಾಪುರ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ದೆಹಲಿಯ ಸಾಮೂಹಿಕ ಅತ್ಯಾಚಾರ ಸಂತ್ರಸ್ತೆ ಸಿಂಗಾಪುರದ ಆಸ್ಪತ್ರೆಗೆ ವಿಮಾನದಲ್ಲಿ
ಇಟಲಿ ಟೂರ್ ಬಸ್ ಪಲ್ಟಿಯಲ್ಲಿ ಮೂವತ್ತೇಳು ಸಾವು,ಇಟಾಲಿಯನ್ ಬಸ್ ಪಲ್ಟಿಯಲ್ಲಿ ಮೂವತ್ತು ಮಂದಿ ಸಾವು
ಬಕಿಂಗ್‌ಹ್ಯಾಮ್ ಅರಮನೆಯ ಪ್ರವೇಶದ್ವಾರದಲ್ಲಿ ಚಾಕು ಹಿಡಿದ ವ್ಯಕ್ತಿಯನ್ನು ಬಂಧಿಸಲಾಗಿದೆ,ಬಕಿಂಗ್ಹ್ಯಾಮ್ ಅರಮನೆಯ ಬಂಧನದ ನಂತರ ವ್ಯಕ್ತಿಗೆ ಆರೋಪ
ಚೀನಾ ಷೇರುಗಳು ಗುರುವಾರ ಕೆಳಮಟ್ಟಕ್ಕೆ ಕೊನೆಗೊಂಡಿವೆ,ಚೀನಾ ಷೇರುಗಳು ಗುರುವಾರ ಕಡಿಮೆ ಮುಚ್ಚಿದವು
